sentiment,content
neutral,me too chick
worry,hey rocstar
happiness,Good nite everybody! &lt;:Baby Boy:&gt;
love,really wants to go see AI tonight.
sadness,boys and girls lie? awww is santa not real either?
happiness,I thought it was a simple one I found it hilarious.
worry,"Morning, up early to travel to today's game but reli happy my bro is coming to watch me x"
worry,Placed a $2 bet on a sure thing and lost. no more betting for me!
love,"If you see it at Nova on a Monday, tickets are only $8"
love,HAHA I took the quiz on fb and missed the mcfly one
sadness,"Brother #3 is wandering around the house in his underwear. As charming for his 2 sisters as it is for the other female guests, I'm sure"
neutral,"Yes, actually there was some jam twitter traffic yesterday... But it can happen. Don't worry"
neutral,someone really needs to make a kit like that avaialble for home use
surprise,yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don't knowwww plan plan before you go to US!
neutral,wow. hehehe. mushy-mushy mode.
worry,Hey Split Rock -- I'd know that llama anywhere
neutral,"lol thanks, I really needed a reminder that I'm an old hag mom lol"
neutral,not a lot!! im bored! My names Crissy BTW lol How u doinnnn???
enthusiasm,I made my parents add u guys on the family myspace...they were impressed by the song.
happiness,Shakti's celebrating her 4th Birthday today!
worry,"WIDE awake, scoffed 3/4's of a pizza and feel like a sumo such a weak day! Run tomorrow"
worry,"I've been there. The only place I have flown out of since moving up north. Really pretty area for flying, but very expensive"
worry,didn't get to see his movie!
happiness,- God i'm up early. Hayley still asleep but today is party day so i'm getting stuff ready. x
happiness,Good Morning - here's hoping it's a good one for ya!
neutral,Epicfail and Joseph in class... Very long liao
fun,#FollowFriday In honor of my web buddies who moved.
neutral,"all work, no play."
love,: yes she got all lovey with him&amp;he returned the love&amp;1thing led2 another&amp; also wants2 know y ur mad at her
sadness,"didnt enjoy having to say goodbye to alex, v emotional times but the sun is making me happy !"
neutral,oh well. I've never seen him do anything before so I'm not gonna say anything.
surprise,*follows back*
neutral,is walking to tesco with rhiannon and hannah to hide all evidence of lastnight
neutral,"congrats, dreps! and good luck sa interview!"
worry,Pissing annoying date stamp on all my pictures. Wish I'd remembered to turn it off.
worry,"i want you to text me first everyday, not me"
neutral,"Full Time in tonight's game, Ashington 0 - 5 Whitley Bay"
worry,I have uncontrolable hic-ups right now that hurt
worry,I need a bigger mp3 player... even if it pains me to say it
worry,sighs. where's my candy
happiness,"Just got done working with Nate today...got another 100%! Yippee!! He's going on vacation next week, so I have to brave Calc on my own."
sadness,"have to stay away from home, and since this part of india dnt hav gud wireless internet, im fucked"
worry,I love #polaroid - such a shame they don't make the film for it anymore
sadness,I clicked on the Check out pictures of Angelina and it went to a spam site about ordering checks .. go figure
neutral,comes home in two days
neutral,check on ya'll in a bit. im in for a Mother's day haircut. ciao!...
neutral,Sleeping over my cousin's house for the weekend. Bugzy
happiness,me too... it goes to my phone so all night long sometimes my phone is blowing up... so nice to wake up to!
surprise,mannnn..... got an iphone!!! im jealous....
worry,They raised the prices at work which means people are tipping less. Yay
neutral,hypnotyst .... hmmmm... i should beware..
surprise,no food in the cupboards... sent mum to Tesco
love,"Ohh thankss bubble We have some of your things you left here, We are going to send them before we go Missing youuu!"
surprise,yay! excited?
happiness,"Just came back from hanging out with some friends + cocktails. &lt;3 I'm not drunk, but feeling good. Hope everyone's well?"
sadness,I can't get it to load. And I wanted everyone to see my &quot;Bette Davis Eyes&quot; remix video today. boooooo
happiness,"3 live p2v migrates, 5 vmware vsp exams, and a magento config, a quiet weekend at party central"
enthusiasm,has found a free wifi point ... and it's sunny
worry,I won't leave you alone until you accept my appology
sadness,"Sadly, I can't view that site due to region restrictions"
hate,You look nothing like your Twitter avatar!
neutral,thanks this one will be a hit. has been a patron since 2001
neutral,I think me gettin a physical change
worry,Hi SweetiePie!! It's Friday night and I'm .... missing my sidekick &amp; his slippers. It's just not Friday night w/o him.
fun,- yummm.....Very Nicee
happiness,Still working in the database and trying to decide what I want to eat.
relief,250E!!! CRAZZYYYY ! But just this summer !!! cuz Ci are very close to RD! :s
worry,... but i could barely speak! He was probably thinking 'who is the weirdo?' LOOOOL. Say sorry to him for me please? x &lt;3
worry,my little booboo is sick
happiness,learn tw-headed boy by nutreal milk hotel
surprise,sorry to hear that
neutral,I gots the sniffles
neutral,Im just thinking bout life. I need my bed. My fiance is in bed first
neutral,With Russ and Joe!
neutral,- Haha.. This is me! In my bedroom.
neutral,i'm trying in lots of pain though.
sadness,ayy fml. nothing is perfect
neutral,im in stats and I'm bored and tireed
happiness,Getting ready to to to school
sadness,that really sucks I feel bad for you at least I woke up at eight.
fun,08.05.09 partying at the Pineforest
sadness,me and Arlando are totally done. I havn'e talked to him in a LONG time!Now I just have to find a 'worth while' man...
sadness,"heyy dude, yuup thats it really hows your monday? x"
neutral,oooh gosh Google Wave is looking pretty sexy. Lunch time's over though Back to Powerpoint (significantly less sexy)
surprise,didnt get it clear
hate,"Sick, sick, sick. This sucks. i can't even breathe properly"
neutral,i hope he does ; join and you'll find one
enthusiasm,BEEN TOWN WITH THE MOTHER NICE &amp; SUNNNY
relief,"Haha, you didn't do anything wrong."
worry,being bored at home! Tomorrow i've got to work all day!
empty,"Google going down means DoubleClick goes down too, means I can't get any work done."
happiness,"well, if Twitter was $1 a year, I think it'd be a lot easier to monetize than at $30 Less need for differentiated pay/nopay."
sadness,and why can't toy story come out this june
worry,alright alright! I will be tuning in and taking notes - remember what I said before (got a spot? raising my handz - both
surprise,"3OH!3 - Rich man is amazing, really can't be bothered for school on Monday"
worry,"someone take care of me, im so sick"
neutral,"ava nï¿½y c?ng ch? cï¿½ 3 mï¿½u nh?? :-/ thui, hem sao em ?, c? h?i cï¿½n nhï¿½u m?,"
neutral,There's also a fairly recent (w/in past 10 years) quasi-sequel. Plot not as good but v. pretty in terms of art.
neutral,morning to all
empty,Is the pantry
sadness,"Going to an engagement party tommorrow night - it should be mine, but its NOT! Stepping off the soapbox."
neutral,"Zeb has napped for 6 hours already today, and is asleep again... he must be growing fast"
hate,just got back home... bored now
surprise,love to but already got plan going to queen mary !
happiness,"Hello Paul, nice to hear someone is listening Some interesting thoughts from #Kaashoek #Unisys. Patel from Doculabs next !"
neutral,I heard about that too... that seems an overreaction...
sadness,Up late with nothin 2 do.....
happiness,i am kind of excited to go to school today. i dont know why. hopefully it will be a good day
love,awekay kewl. thanx.
sadness,Hicks are mean!
neutral,Second wind over - home time!
happiness,I like that!
worry,yeah text me!!! i wnat to go!!!!! but my car is broken!!
worry,OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!
hate,awhile ago it freaking hot! now it's wet turn off!
surprise,no it doesn't...sheesh
sadness,You know your neck is jacked up when you are forced to pay for parking bc you can't turn you head to parallel park in the free spaces...
fun,for lack of having to go do my own hunt (lol) can you refresh my memory on which one is clue #2?
empty,Hoping my mom likes her pamper gifts I sent her
worry,im good! im on my laptop using and external internet plug. i need to send it away to be fixed
neutral,All ready for costume making! But... there's no one here...!
sadness,im really sorry i know wallah how u feel this life is shittttttttt
enthusiasm,Nice seeing my partner in crime/gossip drama queen partner again. I missed my Manda!
sadness,Watching Dr. Phil's special on same-sex marriage. It's sad how ignorant some people are
neutral,dang last url went down ?
happiness,"i had a dream last night, and i was singing first avid dream of myself crooning away!"
neutral,studying out of spite. whatever.. Wonderful unforgettable weekend with DC
hate,It's car crash tv at it's worst.
worry,Lester? Guessed her? Yester-day? You can think of something. No cop outs now.
happiness,Youuuu're an aaass my aaass loooool
love,Happy Mama's day to all mothers
sadness,i want to join drama practice today but i can't
sadness,"Oh, and I went with my friend to MYOH last night but they ran out of tarsier pins. So sad. He was really cute."
worry,So i guess im stuck in the LOBBY
neutral,sorry if I got u sick.
worry,I'm not sure about this tweet business Why are the simple things so difficult?
worry,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
love,Absolutely! Lookin' forward to it
happiness,I`m looking forward too see and hear you in Norway!! Live fast!
relief,if you're watching this...I love you.&quot; I almost died. But now...SHE MEANS NOTHING!
happiness,"Still in bed enjoying the spring sunshine streaming in the window, woke at 5am rigid, extreme pain and exhausted but i'm positive today"
happiness,OMG daon't tell me you have watched twilight enuff to know that !!
neutral,Ooohhh well you could always borrow and burn buddy. Lol
worry,My ancient iPod is nearing death
worry,Swollen face.....again
fun,"Zelda Fans!!! pand_i - Zelda: The minnish cap, and a want for more music taste: Zelda = epic I&amp;#.."
worry,please don't
neutral,"Ha, if i was I would be pointing out the irony of that last spelling mistake. With swearing."
neutral,Time for a clean up.
happiness,OH EMM GEE!! QUEBEC IN 16 DAYS. I AM SO EXCITED.
neutral,TV time see yall later! xoxo
sadness,bad grades again
neutral,dat klinkt erg enthousiast
love,alright cool. See you tomorrow thank you!
worry,"Wish I could attend E3 this year. But these small events like the NBA and Stanley Cup Finals keep getting in the way. Work, work, work."
worry,Hey I texted you but you never responded. We stopped at a friend's &amp; ended up staying.
neutral,nice you look awesome in photos .. whereas I look like a drunken soccer fan in all of mine
hate,im excited for those pics send me urs w/ him too i &lt;3 photoshop lol
neutral,can't wait for the 8th and the 13th.... its gonna be a loooong night!!
love,got to see 2 of my favorite guys back on long island heading back to the city tomorrow or monday to be with the boyfriend! &lt;3
sadness,Why did everyone seem to leave me this weekend ....sigh. In bed
worry,ohhh. hm. I don't want to screw mine up
worry,"going out with my tita gi, sister and my beloved lola! Were going to treat her for dinner! Wohoo... So excited and hungry..."
love,is Happy Mothers Day. Taking Mum out for dinner to one of my favourite restaurants down Glenelg now
fun,On way to grab airport. Listenin to #thebeat. There's noooooo way would play these mashups.... AVH would be
neutral,blerrrrrrrrrrgh. im too hot and all sticky
neutral,Hoping everyone is safe frm the purge that is supposedly happening at work right now.
anger,"So, what's so great bout your so called 'wonderful love life'? For god sake, W-A-T-E-V-A!"
enthusiasm,well you'll ether have to buy the DVD or wailt till july to see the Secret Episode!! Episode 13!
surprise,Photo: Thatï¿½s what you call HOPE.
happiness,Reached Bangalore!! Now gotta hunt for rooms
worry,You are right. If you ordered a static IP it should have been set up. I apologize if it was not
love,"I simply loved the pic. I'm glad you're happy, that's makes me feel happy too love you &lt;3"
worry,"-- I won't feel guilty and like I should be revising stuff after today, haha"
sadness,bye daddy!! see you on tuesday
relief,thanks got it will contact you if i am having troubles!Thanks
boredom,#todo Cleaning the Apartment - again - who keeps making this mess? oh yeah .. me. $10 + hug for the person to help come clean
worry,At the dr office for abbie's second round of shots...
love,Happy Hug Your Mom Day!! love you mom
love,Had a great family party for our 14 y/o! What a great family that God gave us! Esp those we chose!
worry,claires party was amazing! headache.
hate,"Still dealing with quite a bit of pain, will jump off here soon to lay down,very frustrating Thanks 4 asking"
sadness,That would be really great....except im not allowed to talk to boys on the phone long story...my fault
hate,"is on cloud 20 minus 11, razzle dazzle in amazement cuz he showed her heaven!"
neutral,"flying is falling, getting distracted and missing the ground"
surprise,Damnation. I just woke up.
worry,if ur as awesome as i think u are u would sooo write me back a lil something &lt;--- crossing fingers
surprise,wow.???? ??????
fun,"Lucky you! it's drizzling again. Mommy says the puddles are big enough 4 me to swim in, so no dog park today.."
happiness,"Toasted Baked Bean Sandwiches and red wine, a perfect sunday night dinner combination"
worry,Sitting on the decking reading psychology notes with my ipod and my dog. It's far too warm
happiness,Happy Mother's Day
worry,I'm 25 in december that's not good at all next big birthday is 30 after 21 it flys by for sure
love,Nice!!!!!!!! I WILL be there
happiness,via Found #geocache Head's Up! Probably my only find of the day.
relief,Have you managed to breathe since getting the news?
happiness,I like already (new follower to join in midst of zombies mayhem)
worry,"ok my friend is about to dye my hair black scary i know, ill try to post some pics tonight if not tomorrow for ur verdict"
relief,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc"
neutral,is missing out on the sunshine and trying to stay awake after having just 2 hours sleep
sadness,OMG i just realised while listening to &quot;perfect story&quot; penny liked dr horrible!!! damn you captain hammer! omg im so sad now!
sadness,Sitting by myself. Everyone took the good seats.
surprise,i believe that you are
love,happy mamas day to all the baby mamas... and the baby mamas mamas
sadness,Why do you hurt me? Does it bring you joy to see me cry? You know I love you more then anything and yet u break my heart everyday!
happiness,Outz wif the BIG BIG BIG HAPPY FAMILY for mommy's day meal. And Happy Mommy Day to all Mommys out there!
worry,Wonders if I'm d only 1 dat n church sumtime nt knowng certain sungs. Seems like erbdy knows it but u? Quickly feel bad cnt sing along .
happiness,Hehehe. ) I`m nice
worry,I cant i dont have mms but i will waer it nexxt time i see you
hate,"** gifts &amp; honesty box messages has been discontinued due to abuse ** - hehe, dalï¿½ï¿½ facebookovï¿½ aplikace na hovno"
sadness,Has been a long day - Matinee and evening show. Will be sad tomorrow: last ever Welsh College show
neutral,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time
sadness,had my first day at work and im not excited about the lay out of the place and where everything is.. o well its a job
happiness,"haha...Live long &amp; prosper. The movie was better than I thought, they did an awesome job, I'm pleased"
worry,"Kam just called. She, Emmy &amp; Laloo went to the Barn. On their way back now and Keltin is in atomic meltdown mode. That's a LONG drive"
worry,You never answered your DM I sent you.... I need your info...
worry,ahh im getting really tired and ej isnt up yet! im might have to go to sleep without talking to her again
worry,Finally made it to JP Licks in Coolidge Corner for some Oreo soft serve
worry,thanks bebeisis that is right is your name by any chanve elisabeth???
worry,Depends on what they want for it....I've become poor again
happiness,It re-entered my brain orbit thanks to me watching Ryan Reynolds mugging away in &quot;Just Friends&quot; recently
sadness,wud like to. But I actually have a free weekend this time and family is visiting. so I'm staying put. next time
worry,"Oh my Lord, I have no idea if any of this crap I spout is getting to anyone"
worry,Jay I'm so sad its your last night on the show Its my last night watching it too I can't watch Conan see you at 10 pm
neutral,Listening to Sublime and 311 at work.. I have got to get these resumes done. Then I have design work for the Fudge Factory.
happiness,"Finally, im back online! I miss my lappy. So many things to follow up. Starting with Ning... Haha."
sadness,- *sniff* i feel so left out! *grin*
neutral,not good enough!
neutral,"no, but it's tacky to Tweet about it"
relief,home.Going to be a warm day on top of it. Is it Friday yet?
relief,I feel like flying off somewhere. It's been a month since my last trip...
hate,Getting very frustrated by people who don't know what they want... can't wait to go home tonight...
neutral,"Aww, that's sad. I miss seeing you guys on the big screen."
neutral,I see your date is showing you a good time Still want a stripper picture
empty,"I know you won't keep a wild dog, or else you won't be able in the situation to use Mandriva in your life."
worry,Somebody buy me a plane ticket home!! I miss my girl...
neutral,evryone come here were spamming so much and blogtv is glitching and it might work
love,"Baq to sleep i go no the headach starts , if its not 1 its da other"
worry,I have a broken wrist
sadness,OOPS I meant 9412tr sorry lol
happiness,nice weather..looks like its going to rain here in # Delhi.
relief,OMG! i'm almost done with the last block on this quilt! Just a few hours of work left i can't wait to meet my goal
worry,I work till 6:30 daily at the bank~how do I get free ribfest passes???
neutral,"this has been like the never ending story....all I seem to be doing is packing and now unpacking!!! Soon over, great here"
neutral,Use this link to start earning free cash Just sign up and get paypal cashouts of minimum $1 !!
sadness,I need to play inFamous... Where's a free Blockbuster rental coupon when you need one? I miss that Coke Reward
surprise,....I hugged my hater 2day. Then told her its #nobitchassnessfriday!!! I'm now in trouble for cursing my mgr.
sadness,At social. just saw G-1.. Awwww
sadness,goodbye picnic for a classmate today but the weather was fucking beautifuul!!!
surprise,busy wit work how is your business going on?
neutral,on no bsg might just have made me cry
happiness,Thanks you little star! Have been offered to come to JA for a weekender but dunno if I can afford to go. Looking into it now...
sadness,- this is my Ohio is for lovers tattoo got the design off the shirt.. haha but I lost the shirt
love,Thanx love
happiness,I had a great date last night...tried to find the CDCaves with Daniel it was HILARIOUSLY FUN!!!
neutral,not if i'm not on the list
hate,I dont care who gets mad. I like speaking my mind. Im alreadt crazy so it helps me not go off da deep edge! Fuck u!
sadness,that school wouldnt suck all the time
happiness,Wait - cool AND a sliding door? That's an oxymoron.
love,Sick Right now very thankful for my chicken soup and my bed!
surprise,the new song with cobra starship is amazing!!
happiness,aaaw... that's very sweet of him. my girl friends gots to drag them hubbies just so we can &quot;nite-out&quot;. unless my beer. LoL
happiness,Just watched Star Trek. A+! That was so well done. I think I'm down to see it again. Who wants to join me?
fun,Getting ready for our annual old boys hockey competition let's bring down the students!
worry,"Bah, tea and toast for me because my stomach is not happy The tea is yummy though..."
neutral,"ouch!! Applied Ec over the summer? And no graduation, then? *hug*"
relief,each day is a new beginning
neutral,understandable. yah i leave on monday! I'll be gone when you're in chi
sadness,Per Taylor Dayne conversation. It's official I am now jealous of you.
happiness,Happy Mother's Day to all the mothers out there!!
empty,missing mrs mcfox
neutral,Yes... I'll have some ice in ice tea please LoL
neutral,Ahh dang of course it had to do that She better e-mail you back fast!
surprise,"Aww, no one's on MSN"
relief,Bet she plays on Medium and you play on easy too huh... #iPhone #Fun #Game
sadness,Way to many people were crying at the school picnic and now I have to decide if I want to go back or go to public. I'm confused and sad
sadness,TwitterBerry hates me
relief,im very sorry.
surprise,i just posted it like 5 mintues after you got off
relief,What kind of help do you need with Machine embroidery? I may bea able to help
worry,is allergic to you...Oh NO!
worry,"Not feeling too good at ALL, about to head to work from 12-5. Not a bad shift, just not fun when you don't feel well! Hope it goes FAST"
worry,"if we actually watch it, yes we can admit it... our popular culture doesn't define our Christianity!"
neutral,I talk to Ty all the time on XBL. I'm sure I could manage.
neutral,shower before doctor's appointment
happiness,Happy happy birthday
neutral,take tylenol or advil? whatever one i never get headaches so i dont know which is better
fun,I'll give u an icecream ?
worry,So disappointed about the talent lineup for &quot;Reventï¿½n Super Estrella 2009&quot;...hmm...Have the feeling I won't get tix this time around.
happiness,Listening Maroon 5 .... &quot;Songs About Jane&quot; is one of my favourite albums in time
hate,"exhausted, but forced into attending a lock-in"
love,"thanks for following, it means a lot to me i love hey monday!"
neutral,PS tell me about your weekend
worry,i found out that there's sushi with fake crab meat and it's not good for you
hate,i was invited to one on the beach but it was too short notice i mean why the hell tell you 2hrs before?? really?
happiness,Good luck with the footage - none of the stations are breaking in live with it
neutral,It's xo
empty,I'm only 6' 0&quot;
worry,I don't have any from you
neutral,cause theres no party
worry,&quot;And now my mom and her friend are drinking.. Greatt..&quot;
neutral,cleaning my room
sadness,they got attacked by the club
worry,"My sisters in laws house, car and tree got hit by lightning last night! Aint that some shit lol its on the news, awww me sorry"
worry,awww what did you eat sweety?
worry,asks can someone pass me some load. :| Kahit 2 pesos lang.
neutral,Good morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!
hate,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
happiness,watching &quot;Look for a Star&quot; with mom again lub ah C hehe
neutral,Still working on music grades...outside on the deck...sun is behind a big gray cloud
neutral,watching short stack tv
worry,I have ants in my apartment
sadness,i have started saving my Tumblr drafts because that happened to me this week and i was so sad
happiness,lucky! that's awesome
sadness,IKR. but i hate the lack of troyella ggmow always makes me so sad
empty,Good night peeps! Give to your mom's the greatest love you have xxx
neutral,its only 0.2! Just give me my 3 points!
neutral,"Hehe, you're an expert now eh?"
neutral,2 coins people
neutral,checkin twitter out!
neutral,"nope not going be able to finish it tonight, got a few other things to do before bed"
worry,sick girl! trying to shake this thing off but no luck .. How are you miss long time..
neutral,ACK! Fast forward right through that Coldplay song.
worry,I think I've forgotten to mention some people on my video
sadness,Is home from MARCO ISLAND and missing it and my girls already...back to work!
love,Hopes every1 had a nice mothers day!
neutral,My dad's telling me to travel alone from now on. Not that I have a problem with that. I've done it before and it's boring!
enthusiasm,"wowie wooie someone updated their twitter without me having to remind you. I'm not even mad,I'm impressed. how was the lasagna ?"
surprise,"what? I do not speak Finnish or what that was, hehe"
surprise,yes indeed! nice to see you on twitter! Why do you ask? xx
worry,Done with the Missourian for the day. No call back from Sturtz...
sadness,"looking for my sister on facebook, miss you yani"
happiness,thanks so much for the belated #followfriday shout out #payingitforward
neutral,contemplating whether or not I will go to prom as I listen to my 80's playlist. &quot;Somethings tellin me it might be you!&quot; Stephen bishop
love,mmmmmm mcdonalds coffee is soooooo good.....maybe going to hookah tonight with the abbster
neutral,"btw ... my sister's all ready know this little fact. My 2nd oldest sisters husband is a keeper, tho'. Her, not so much"
neutral,Many miles of driving today. No time to twitter
neutral,"Microsoft has released Zune also in Europe, no HD for us"
happiness,for sure! You and your wife seem like cool cats.
happiness,happy superwomans day !
worry,- I miss my babyyy
sadness,"3 to go, and uploading photos to email would be ten tenenen tenen.. DONE"
worry,hence Jew on Jew. Not pretty. I'm sorry
happiness,"if there's a pow wow in the chicago area, definitely check it out, they're so fun! Happy Mother's Day"
worry,Well that just sucks. Good way to make me feel bad
happiness,Cool...a VERY productive day! I just got a spot as an extra in a feature film that is filming tomorrow AWESOME week all around!
happiness,Seeing my friends and doing coursework I have the weekend off work so I am happy!
hate,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
enthusiasm,you outta follow zipz for discounts and updates
worry,"you need to play something from Mary Poppins at them, everyone knows that's how rooms get tidy"
worry,"Finished my Marilyn Manson book wow. He has had a colourful (or not so colourful, more black) life"
neutral,I could barely choke it down
happiness,Good Morning i ate pizza for breakfast
sadness,ahh yes the obligations of a vampire kept me away from twitter.but now i'm back &amp; will try 2 update as much as possible.i lost a donor
sadness,"is confused &amp; sad. oh no here comes the &quot;sweets&quot;, to cheer me up"
worry,i will be without an assistant for the next week
hate,hates samanthas guts
enthusiasm,no way - those are great words. Boys don't get to own them. Oh and was it your bday?
worry,26 days till 18 cant wait.
happiness,happy happy joy joy is that good enough for you
neutral,"Yes, maybe, but for today, I write"
surprise,I just love it when hot policemen come into my work
neutral,OmG U NasTY
neutral,aaaww fall for you of courseeee
happiness,great day/night with my gabberss
love,"i really want to marry leighton meester. damn, can`t take my eyes of her."
surprise,Got home from work 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!! Ugh...oh well. Might not eat.
happiness,has just discovered a great site!
happiness,Has had a really good bank hoilday
worry,I must of brought the bad weather with me to the states
hate,f*** that weather
neutral,"oh wait, i messed up my own messed up lyrics, that should be &quot;don't concretize it&quot;"
sadness,low low low low low low low low low.............................
fun,i'm fake. . Is that the same? ~K~
love,"just the mere fact that you twittered and someone read it, then it matters p.s. love your song Gravity"
relief,hahaha I wanted to eat that Chicken
love,i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?
worry,"Not living, just trying to earn the grocery money. I do enjoy eating at least once a day!"
sadness,for me they're not
neutral,"i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style"
happiness,out shopping....
neutral,happy mothers day! im gunna crawl up in a ball and act like i dont exist lmfaoo
relief,This is cool!
sadness,I just cried whilst watching hollyoaks .. i need a life! lol
love,cant wait for prom and after prom party on friday
happiness,lmao haha nice lolz it's all good though. i can wait lol
happiness,Gonna head into the shower now... Going to a friend's birthday party =]
neutral,You are quite welcome Mr. Poole.
neutral,hi Ms. Fussy *waves*
worry,I'm really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1
happiness,happy star wars day
neutral,: thats if u go on a weekend.
worry,Kennedy was re-injured at RAW on Monday. He's got s serious muscle issue in his back and a broken wrist.
worry,"has just finished reading Twilight and thought it was crap...okay, it was alright...okay, i love it and really wanna read the next one"
neutral,"Morning all sun is shining, birds are singing - time for a cuppa T in the garden while reading tweets"
neutral,"Oh dear, what a rotten life you lead, NOT!"
happiness,Going to bed! Happy mother's day for every mom here!
happiness,Yay! Go wyattt your totally amazing'!'! Im So happy for you. yay
neutral,"Lets change this S0ulja B0y te|| em trending topic to, &quot;Soulja Girl Told em&quot;"
love,actually loves nesquik cereal
empty,Piz's last lunch in b-dubb
neutral,"Argh. Totally right, escapou-me"
worry,my sleeping child does not want to wake up.....she will be up all night now
worry,Sorry I didn't go Jesus wasn't feeling it. And you know I can't see it with out my best bud. Well that movie anyways
worry,lamentablemente paso #jrztwitterlunch
surprise,"Today was definitely a good day, had fun! Gunna try to get ahead on school now, so text me! &lt;3"
sadness,broken I can't c it
happiness,time for bed.....got some learning to do tomorrow with an early start night night good people xxx
neutral,#Supernatural at 9:30pm on #Ten.. Counting down..
sadness,At work... What a miserable day
neutral,"probably, but the yoot don't care no more grandad"
neutral,and I bought FOUR ties
happiness,hot cuppa coffee made with milk &amp; fortified with Monin's Irish Coffee syrup! Bliss!
empty,Ugh sittin at work waiting for the carpets to be cleaned. I was suppose to be out by 7
worry,i would slip and fall... on the dirty school bathroom floor. fml.
worry,F.Y.I. a lot of you people that are following me i have unfollowed a lot of you yer kinda boring me or not really helpful to my e-growth!
sadness,"Heathrow Connect is ï¿½7.40,i thought it was a bargain (express is 15),but then it terminated at Hayes/Harlington and i had to take a bus"
sadness,so now i dont get my car back til monday. boooo
worry,huh what the fuck? Smelly? Noooo. I love alex Vixon
happiness,"Thanks hun! I'm wearing my new goldmine e/s and big false lashes, but it doesn't show!"
neutral,- Oh yeah Bring on Morning tea tomorrow.
sadness,My hips are too wide to rock those mario Kart shorts why couldn i have the bone structure of a 12 year old boy?
neutral,says np- Because of You -- Ne-Yo (music)
worry,I took her cracker now she doesn't love me
love,I wanna see that movie &quot;Keith&quot; with JMcCartney in it! It looks sooo good. But none of the video stores here carry it
sadness,"my god, really! Really? 50? Christ"
worry,Knock You Down is playing now...again!!! Cna my day get any better?? I love it!! How r u? Missed u
fun,SBS 2003 or SBS 2008! Damned if you do and damned if you don't! Fun times at GCH!
happiness,Haha how exciting wat does it look like?!
worry,Ahhh feel sorry for that little girl can't watch her crying xx
worry,i need people to talk to me please im very bored x follow me!
happiness,Weather reports of a week of upper 60s make me happy Perfect running weather!
fun,Getting ready for a going-away dessert reception for a colleague who's off to grad school.
happiness,"the only thing I know about star trek is the joke from tina fey's twitter, &quot;may the 4th be with you&quot;"
enthusiasm,Why kiss the feet of the people who kick you when you can be anything that you want to? morning everyone! Hope you have the best day ever
worry,"Jesus...I'm being SLAMMED via DM's from the Papaya lobbyists. OK. Holy crap: Mangosteen, Durian or Papaya...or cybersecurity on a stick."
worry,My graduation day... And i feel like a failure...
worry,"called about it, no answer shall try again tomorrow"
hate,my eyes are streaming!! i HATE hayfever it's so bad even my tablets aren't working!
love,"we have annual passes to Universal and LOOOVE it! I love disney, but I dont know that I would do it in the summer!!!"
sadness,"28deg C in here, all this tech in my room does have the major downside of a lot of heat, doesn't help its hot outside 2"
neutral,?????? ???????? ????? ????????. ????? ????????? thanx for the sixer comment
neutral,", finally, someone spreading the Hayley Love via Twitter. Welcome to the club, Taylor."
worry,yeah unfortuantley Sam hanks crap bowl that he like rolled along the floor got me out grr
worry,"ashley tisdale , i mean . cuz shes in berlin on 6th june and i'm not gonna be there . i wanna start cryin right now :/ ashley pick me up"
relief,Relaxin after a fun day
sadness,Music soothes the soul...
neutral,officially MOSS doesnt work on Vista but unofficially its fine
neutral,oh that was said perez
happiness,Happy to see Kurt spin.
relief,"All in all, a good weekend"
neutral,I'm back but not for long
worry,"Of all things good and awesome about shooting destination weddings, I'll miss my baby girl for few days. #fb"
happiness,I am doing fantastic JJJ! You? Doing your questions already? teacher's pet!!
enthusiasm,company is offering 2nd round of VSS RIF!
neutral,he was always a bit smug as a whistle-blower. The 9-11 denial stuff is pretty spectacular too
neutral,yay but u have no idea what you look like
sadness,Got the BrainBone daily question wrong! -
happiness,I really ought to pay more attention to my phone tweets... Sure! The more moives the better.
hate,I never liked that boy Jerms!
happiness,i just successfully defeated the swine flue with the power of positive thinking! #Swineflu #H1N1 #Swine Flu
sadness,Finally going to bed after staying up reading the script for &quot;Remember Me.&quot; So sad but sooo good! Happy Mother's Day to all the Mother's!
fun,thats howya pose ta do get cake (twitpic)
happiness,Happy Mothers Day to all of the moms out there
hate,Using a temporary mouse since my trackball is breaking down. I can feel the RSI crawling up my wrist already .
neutral,Im cleaning out my closet! ahhh...
neutral,Thought you might be interested in See who's viewing your photos!
love,NKOTB world is the best place to be
worry,Head--&gt;ache.
neutral,because you saved the frog. I thought I replied to that so it would make sense. so how does twitter work? gehts abi gut?
